     22050 CLK=1 RST=0 OUT= 2 7
     22100 CLK=0 RST=0 OUT= 2 7
     22150 CLK=1 RST=0 OUT= 2 7
     22200 CLK=0 RST=0 OUT= 2 7
     22250 CLK=1 RST=0 OUT= 2 7
     22300 CLK=0 RST=0 OUT= 2 7
     22350 CLK=1 RST=0 OUT= 2 6
     22400 CLK=0 RST=0 OUT= 2 6
     22450 CLK=1 RST=0 OUT= 2 6
     22500 CLK=0 RST=0 OUT= 2 6
     22550 CLK=1 RST=0 OUT= 2 6
     22600 CLK=0 RST=0 OUT= 2 6
     22650 CLK=1 RST=0 OUT= 2 5
     22700 CLK=0 RST=0 OUT= 2 5
     22750 CLK=1 RST=0 OUT= 2 5
     22800 CLK=0 RST=0 OUT= 2 5
     22850 CLK=1 RST=0 OUT= 2 5
     22900 CLK=0 RST=0 OUT= 2 5
     22950 CLK=1 RST=0 OUT= 2 4
     23000 CLK=0 RST=0 OUT= 2 4
     23050 CLK=1 RST=0 OUT= 2 4
     23100 CLK=0 RST=0 OUT= 2 4
     23150 CLK=1 RST=0 OUT= 2 4
     23200 CLK=0 RST=0 OUT= 2 4
     23250 CLK=1 RST=0 OUT= 2 3
     23300 CLK=0 RST=0 OUT= 2 3
     23350 CLK=1 RST=0 OUT= 2 3
     23400 CLK=0 RST=0 OUT= 2 3
     23450 CLK=1 RST=0 OUT= 2 3
     23500 CLK=0 RST=0 OUT= 2 3
     23550 CLK=1 RST=0 OUT= 2 2
     23600 CLK=0 RST=0 OUT= 2 2
     23650 CLK=1 RST=0 OUT= 2 2
     23700 CLK=0 RST=0 OUT= 2 2
     23750 CLK=1 RST=0 OUT= 2 2
     23800 CLK=0 RST=0 OUT= 2 2
     23850 CLK=1 RST=0 OUT= 2 1
     23900 CLK=0 RST=0 OUT= 2 1
     23950 CLK=1 RST=0 OUT= 2 1
     24000 CLK=0 RST=0 OUT= 2 1
     24050 CLK=1 RST=0 OUT= 2 1
     24100 CLK=0 RST=0 OUT= 2 1
     24150 CLK=1 RST=0 OUT= 2 0
     24200 CLK=0 RST=0 OUT= 2 0
     24250 CLK=1 RST=0 OUT= 2 0
     24300 CLK=0 RST=0 OUT= 2 0
     24350 CLK=1 RST=0 OUT= 2 0
     24400 CLK=0 RST=0 OUT= 2 0
     24450 CLK=1 RST=0 OUT= 1 9
     24500 CLK=0 RST=0 OUT= 1 9
     24550 CLK=1 RST=0 OUT= 1 9
     24600 CLK=0 RST=0 OUT= 1 9
     24650 CLK=1 RST=0 OUT= 1 9
     24700 CLK=0 RST=0 OUT= 1 9
     24750 CLK=1 RST=0 OUT= 1 8
     24800 CLK=0 RST=0 OUT= 1 8
     24850 CLK=1 RST=0 OUT= 1 8
     24900 CLK=0 RST=0 OUT= 1 8
     24950 CLK=1 RST=0 OUT= 1 8
     25000 CLK=0 RST=0 OUT= 1 8
     25050 CLK=1 RST=0 OUT= 1 7
     25100 CLK=0 RST=0 OUT= 1 7
     25150 CLK=1 RST=0 OUT= 1 7
     25200 CLK=0 RST=0 OUT= 1 7
     25250 CLK=1 RST=0 OUT= 1 7
     25300 CLK=0 RST=0 OUT= 1 7
     25350 CLK=1 RST=0 OUT= 1 6
     25400 CLK=0 RST=0 OUT= 1 6
     25450 CLK=1 RST=0 OUT= 1 6
     25500 CLK=0 RST=0 OUT= 1 6
     25550 CLK=1 RST=0 OUT= 1 6
     25600 CLK=0 RST=0 OUT= 1 6
     25650 CLK=1 RST=0 OUT= 1 5
     25700 CLK=0 RST=0 OUT= 1 5
     25750 CLK=1 RST=0 OUT= 1 5
     25800 CLK=0 RST=0 OUT= 1 5
     25850 CLK=1 RST=0 OUT= 1 5
     25900 CLK=0 RST=0 OUT= 1 5
     25950 CLK=1 RST=0 OUT= 1 4
     26000 CLK=0 RST=0 OUT= 1 4
     26050 CLK=1 RST=0 OUT= 1 4
     26100 CLK=0 RST=0 OUT= 1 4
     26150 CLK=1 RST=0 OUT= 1 4
     26200 CLK=0 RST=0 OUT= 1 4
     26250 CLK=1 RST=0 OUT= 1 3
     26300 CLK=0 RST=0 OUT= 1 3
     26350 CLK=1 RST=0 OUT= 1 3
     26400 CLK=0 RST=0 OUT= 1 3
     26450 CLK=1 RST=0 OUT= 1 3
     26500 CLK=0 RST=0 OUT= 1 3
     26550 CLK=1 RST=0 OUT= 1 2
     26600 CLK=0 RST=0 OUT= 1 2
     26650 CLK=1 RST=0 OUT= 1 2
     26700 CLK=0 RST=0 OUT= 1 2
     26750 CLK=1 RST=0 OUT= 1 2
     26800 CLK=0 RST=0 OUT= 1 2
     26850 CLK=1 RST=0 OUT= 1 1
     26900 CLK=0 RST=0 OUT= 1 1
     26950 CLK=1 RST=0 OUT= 1 1
     27000 CLK=0 RST=0 OUT= 1 1
     27050 CLK=1 RST=0 OUT= 1 1
     27100 CLK=0 RST=0 OUT= 1 1
     27150 CLK=1 RST=0 OUT= 1 0
     27200 CLK=0 RST=0 OUT= 1 0
     27250 CLK=1 RST=0 OUT= 1 0
     27300 CLK=0 RST=0 OUT= 1 0
     27350 CLK=1 RST=0 OUT= 1 0
     27400 CLK=0 RST=0 OUT= 1 0
     27450 CLK=1 RST=0 OUT= 0 9
     27500 CLK=0 RST=0 OUT= 0 9
     27550 CLK=1 RST=0 OUT= 0 9
     27600 CLK=0 RST=0 OUT= 0 9
     27650 CLK=1 RST=0 OUT= 0 9
     27700 CLK=0 RST=0 OUT= 0 9
     27750 CLK=1 RST=0 OUT= 0 8
     27800 CLK=0 RST=0 OUT= 0 8
     27850 CLK=1 RST=0 OUT= 0 8
     27900 CLK=0 RST=0 OUT= 0 8
     27950 CLK=1 RST=0 OUT= 0 8
     28000 CLK=0 RST=0 OUT= 0 8
     28050 CLK=1 RST=0 OUT= 0 7
     28100 CLK=0 RST=0 OUT= 0 7
     28150 CLK=1 RST=0 OUT= 0 7
     28200 CLK=0 RST=0 OUT= 0 7
